"Tabela 5932 - Taxa de variação do índice de volume trimestral"
"Variável - Taxa trimestral (em relação ao mesmo período do ano anterior) (%)"
"Trimestre","","Setores e subsetores",""
"2º trimestre 2002","Brasil","Comércio","1.1"
"2º trimestre 2002","Brasil","Transporte, armazenagem e correio","-1.5"
"2º trimestre 2002","Brasil","Informação e comunicação","-0.9"
"2º trimestre 2002","Brasil","Atividades financeiras, de seguros e serviços relacionados","-0.2"
"2º trimestre 2002","Brasil","Atividades imobiliárias","1.2"
"2º trimestre 2002","Brasil","Outras atividades de serviços","0.4"
"2º trimestre 2002","Brasil","Administração, saúde e educação públicas e seguridade social","0.2"
"2º trimestre 2002","Brasil","Valor adicionado a preços básicos","0.1"
"2º trimestre 2002","Brasil","Impostos líquidos sobre produtos","-"
"2º trimestre 2002","Brasil","PIB a preços de mercado","0.2"
"3º trimestre 2002","Brasil","Agropecuária - total","7.0"
"3º trimestre 2002","Brasil","Indústria - total","0.8"
"3º trimestre 2002","Brasil","Indústrias extrativas","-0.8"
"3º trimestre 2002","Brasil","Indústrias de transformação","0.1"
"3º trimestre 2002","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-0.3"
"3º trimestre 2002","Brasil","Construção","-0.3"
"3º trimestre 2002","Brasil","Serviços - total","1.1"
"3º trimestre 2002","Brasil","Comércio","0.9"
"3º trimestre 2002","Brasil","Transporte, armazenagem e correio","2.0"
"3º trimestre 2002","Brasil","Informação e comunicação","2.8"
"3º trimestre 2002","Brasil","Atividades financeiras, de seguros e serviços relacionados","2.3"
"3º trimestre 2002","Brasil","Atividades imobiliárias","1.6"
"3º trimestre 2002","Brasil","Outras atividades de serviços","0.4"
"3º trimestre 2002","Brasil","Administração, saúde e educação públicas e seguridade social","0.7"
"3º trimestre 2002","Brasil","Valor adicionado a preços básicos","1.5"
"3º trimestre 2002","Brasil","Impostos líquidos sobre produtos","-"
"3º trimestre 2002","Brasil","PIB a preços de mercado","1.4"
"4º trimestre 2002","Brasil","Agropecuária - total","2.8"
"4º trimestre 2002","Brasil","Indústria - total","3.0"
"4º trimestre 2002","Brasil","Indústrias extrativas","0.1"
"4º trimestre 2002","Brasil","Indústrias de transformação","3.9"
"4º trimestre 2002","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","1.9"
"4º trimestre 2002","Brasil","Construção","3.2"
"4º trimestre 2002","Brasil","Serviços - total","0.6"
"4º trimestre 2002","Brasil","Comércio","-1.4"
"4º trimestre 2002","Brasil","Transporte, armazenagem e correio","-1.5"
"4º trimestre 2002","Brasil","Informação e comunicação","2.0"
"4º trimestre 2002","Brasil","Atividades financeiras, de seguros e serviços relacionados","-0.1"
"4º trimestre 2002","Brasil","Atividades imobiliárias","1.7"
"4º trimestre 2002","Brasil","Outras atividades de serviços","1.1"
"4º trimestre 2002","Brasil","Administração, saúde e educação públicas e seguridade social","0.6"
"4º trimestre 2002","Brasil","Valor adicionado a preços básicos","1.2"
"4º trimestre 2002","Brasil","Impostos líquidos sobre produtos","-"
"4º trimestre 2002","Brasil","PIB a preços de mercado","1.0"
"1º trimestre 2003","Brasil","Agropecuária - total","2.3"
"1º trimestre 2003","Brasil","Indústria - total","-5.2"
"1º trimestre 2003","Brasil","Indústrias extrativas","-1.5"
"1º trimestre 2003","Brasil","Indústrias de transformação","-6.9"
"1º trimestre 2003","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","1.6"
"1º trimestre 2003","Brasil","Construção","-7.5"
"1º trimestre 2003","Brasil","Serviços - total","-0.5"
"1º trimestre 2003","Brasil","Comércio","-0.5"
"1º trimestre 2003","Brasil","Transporte, armazenagem e correio","-5.4"
"1º trimestre 2003","Brasil","Informação e comunicação","-0.6"
"1º trimestre 2003","Brasil","Atividades financeiras, de seguros e serviços relacionados","-4.2"
"1º trimestre 2003","Brasil","Atividades imobiliárias","2.3"
"1º trimestre 2003","Brasil","Outras atividades de serviços","0.5"
"1º trimestre 2003","Brasil","Administração, saúde e educação públicas e seguridade social","0.3"
"1º trimestre 2003","Brasil","Valor adicionado a preços básicos","-0.7"
"1º trimestre 2003","Brasil","Impostos líquidos sobre produtos","-"
"1º trimestre 2003","Brasil","PIB a preços de mercado","-0.4"
"2º trimestre 2003","Brasil","Agropecuária - total","0.0"
"2º trimestre 2003","Brasil","Indústria - total","0.7"
"2º trimestre 2003","Brasil","Indústrias extrativas","1.0"
"2º trimestre 2003","Brasil","Indústrias de transformação","5.8"
"2º trimestre 2003","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-1.9"
"2º trimestre 2003","Brasil","Construção","-7.5"
"2º trimestre 2003","Brasil","Serviços - total","-0.4"
"2º trimestre 2003","Brasil","Comércio","-0.7"
"2º trimestre 2003","Brasil","Transporte, armazenagem e correio","2.9"
"2º trimestre 2003","Brasil","Informação e comunicação","0.8"
"2º trimestre 2003","Brasil","Atividades financeiras, de seguros e serviços relacionados","-2.7"
"2º trimestre 2003","Brasil","Atividades imobiliárias","-0.5"
"2º trimestre 2003","Brasil","Outras atividades de serviços","-2.5"
"2º trimestre 2003","Brasil","Administração, saúde e educação públicas e seguridade social","1.6"
"2º trimestre 2003","Brasil","Valor adicionado a preços básicos","-0.7"
"2º trimestre 2003","Brasil","Impostos líquidos sobre produtos","-"
"2º trimestre 2003","Brasil","PIB a preços de mercado","-0.8"
"3º trimestre 2003","Brasil","Agropecuária - total","-2.9"
"3º trimestre 2003","Brasil","Indústria - total","3.5"
"3º trimestre 2003","Brasil","Indústrias extrativas","3.0"
"3º trimestre 2003","Brasil","Indústrias de transformação","5.5"
"3º trimestre 2003","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","1.4"
"3º trimestre 2003","Brasil","Construção","-0.5"
"3º trimestre 2003","Brasil","Serviços - total","0.9"
"3º trimestre 2003","Brasil","Comércio","-0.2"
"3º trimestre 2003","Brasil","Transporte, armazenagem e correio","2.7"
"3º trimestre 2003","Brasil","Informação e comunicação","-0.3"
"3º trimestre 2003","Brasil","Atividades financeiras, de seguros e serviços relacionados","3.8"
"3º trimestre 2003","Brasil","Atividades imobiliárias","-1.0"
"3º trimestre 2003","Brasil","Outras atividades de serviços","0.8"
"3º trimestre 2003","Brasil","Administração, saúde e educação públicas e seguridade social","1.0"
"3º trimestre 2003","Brasil","Valor adicionado a preços básicos","1.1"
"3º trimestre 2003","Brasil","Impostos líquidos sobre produtos","-"
"3º trimestre 2003","Brasil","PIB a preços de mercado","0.9"
"4º trimestre 2003","Brasil","Agropecuária - total","1.7"
"4º trimestre 2003","Brasil","Indústria - total","1.2"
"4º trimestre 2003","Brasil","Indústrias extrativas","12.1"
"4º trimestre 2003","Brasil","Indústrias de transformação","-1.6"
"4º trimestre 2003","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","0.8"
"4º trimestre 2003","Brasil","Construção","5.5"
"4º trimestre 2003","Brasil","Serviços - total","1.0"
"4º trimestre 2003","Brasil","Comércio","4.4"
"4º trimestre 2003","Brasil","Transporte, armazenagem e correio","1.4"
"4º trimestre 2003","Brasil","Informação e comunicação","-0.4"
"4º trimestre 2003","Brasil","Atividades financeiras, de seguros e serviços relacionados","1.9"
"4º trimestre 2003","Brasil","Atividades imobiliárias","0.2"
"4º trimestre 2003","Brasil","Outras atividades de serviços","-0.6"
"4º trimestre 2003","Brasil","Administração, saúde e educação públicas e seguridade social","1.3"
"4º trimestre 2003","Brasil","Valor adicionado a preços básicos","0.8"
"4º trimestre 2003","Brasil","Impostos líquidos sobre produtos","-"
"4º trimestre 2003","Brasil","PIB a preços de mercado","1.0"
"1º trimestre 2004","Brasil","Agropecuária - total","1.2"
"1º trimestre 2004","Brasil","Indústria - total","1.7"
"1º trimestre 2004","Brasil","Indústrias extrativas","-12.3"
"1º trimestre 2004","Brasil","Indústrias de transformação","3.0"
"1º trimestre 2004","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","0.6"
"1º trimestre 2004","Brasil","Construção","3.9"
"1º trimestre 2004","Brasil","Serviços - total","1.7"
"1º trimestre 2004","Brasil","Comércio","3.9"
"1º trimestre 2004","Brasil","Transporte, armazenagem e correio","0.4"
"1º trimestre 2004","Brasil","Informação e comunicação","1.2"
"1º trimestre 2004","Brasil","Atividades financeiras, de seguros e serviços relacionados","-2.1"
"1º trimestre 2004","Brasil","Atividades imobiliárias","2.0"
"1º trimestre 2004","Brasil","Outras atividades de serviços","-0.1"
"1º trimestre 2004","Brasil","Administração, saúde e educação públicas e seguridade social","2.2"
"1º trimestre 2004","Brasil","Valor adicionado a preços básicos","1.4"
"1º trimestre 2004","Brasil","Impostos líquidos sobre produtos","-"
"1º trimestre 2004","Brasil","PIB a preços de mercado","1.4"
"2º trimestre 2004","Brasil","Agropecuária - total","1.7"
"2º trimestre 2004","Brasil","Indústria - total","2.3"
"2º trimestre 2004","Brasil","Indústrias extrativas","2.1"
"2º trimestre 2004","Brasil","Indústrias de transformação","1.0"
"2º trimestre 2004","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","5.7"
"2º trimestre 2004","Brasil","Construção","4.0"
"2º trimestre 2004","Brasil","Serviços - total","1.6"
"2º trimestre 2004","Brasil","Comércio","1.1"
"2º trimestre 2004","Brasil","Transporte, armazenagem e correio","1.4"
"2º trimestre 2004","Brasil","Informação e comunicação","2.0"
"2º trimestre 2004","Brasil","Atividades financeiras, de seguros e serviços relacionados","7.3"
"2º trimestre 2004","Brasil","Atividades imobiliárias","2.8"
"2º trimestre 2004","Brasil","Outras atividades de serviços","3.7"
"2º trimestre 2004","Brasil","Administração, saúde e educação públicas e seguridade social","-1.4"
"2º trimestre 2004","Brasil","Valor adicionado a preços básicos","2.7"
"2º trimestre 2004","Brasil","Impostos líquidos sobre produtos","-"
"2º trimestre 2004","Brasil","PIB a preços de mercado","2.8"
"3º trimestre 2004","Brasil","Agropecuária - total","0.0"
"3º trimestre 2004","Brasil","Indústria - total","3.6"
"3º trimestre 2004","Brasil","Indústrias extrativas","1.4"
"3º trimestre 2004","Brasil","Indústrias de transformação","4.1"
"3º trimestre 2004","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-0.3"
"3º trimestre 2004","Brasil","Construção","4.5"
"3º trimestre 2004","Brasil","Serviços - total","1.0"
"3º trimestre 2004","Brasil","Comércio","2.4"
"3º trimestre 2004","Brasil","Transporte, armazenagem e correio","0.2"
"3º trimestre 2004","Brasil","Informação e comunicação","2.1"
"3º trimestre 2004","Brasil","Atividades financeiras, de seguros e serviços relacionados","-6.3"
"3º trimestre 2004","Brasil","Atividades imobiliárias","3.1"
"3º trimestre 2004","Brasil","Outras atividades de serviços","1.3"
"3º trimestre 2004","Brasil","Administração, saúde e educação públicas e seguridade social","1.2"
"3º trimestre 2004","Brasil","Valor adicionado a preços básicos","1.2"
"3º trimestre 2004","Brasil","Impostos líquidos sobre produtos","-"
"3º trimestre 2004","Brasil","PIB a preços de mercado","1.3"
"4º trimestre 2004","Brasil","Agropecuária - total","-1.2"
"4º trimestre 2004","Brasil","Indústria - total","-0.2"
"4º trimestre 2004","Brasil","Indústrias extrativas","1.6"
"4º trimestre 2004","Brasil","Indústrias de transformação","0.6"
"4º trimestre 2004","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","1.2"
"4º trimestre 2004","Brasil","Construção","-2.7"
"4º trimestre 2004","Brasil","Serviços - total","1.7"
"4º trimestre 2004","Brasil","Comércio","0.0"
"4º trimestre 2004","Brasil","Transporte, armazenagem e correio","1.6"
"4º trimestre 2004","Brasil","Informação e comunicação","2.3"
"4º trimestre 2004","Brasil","Atividades financeiras, de seguros e serviços relacionados","5.7"
"4º trimestre 2004","Brasil","Atividades imobiliárias","0.5"
"4º trimestre 2004","Brasil","Outras atividades de serviços","2.4"
"4º trimestre 2004","Brasil","Administração, saúde e educação públicas e seguridade social","0.8"
"4º trimestre 2004","Brasil","Valor adicionado a preços básicos","0.7"
"4º trimestre 2004","Brasil","Impostos líquidos sobre produtos","-"
"4º trimestre 2004","Brasil","PIB a preços de mercado","0.8"
"1º trimestre 2005","Brasil","Agropecuária - total","2.5"
"1º trimestre 2005","Brasil","Indústria - total","-1.0"
"1º trimestre 2005","Brasil","Indústrias extrativas","-1.9"
"1º trimestre 2005","Brasil","Indústrias de transformação","-1.5"
"1º trimestre 2005","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","1.0"
"1º trimestre 2005","Brasil","Construção","-3.2"
"1º trimestre 2005","Brasil","Serviços - total","0.1"
"1º trimestre 2005","Brasil","Comércio","-0.3"
"1º trimestre 2005","Brasil","Transporte, armazenagem e correio","2.4"
"1º trimestre 2005","Brasil","Informação e comunicação","0.8"
"1º trimestre 2005","Brasil","Atividades financeiras, de seguros e serviços relacionados","1.7"
"1º trimestre 2005","Brasil","Atividades imobiliárias","0.0"
"1º trimestre 2005","Brasil","Outras atividades de serviços","0.0"
"1º trimestre 2005","Brasil","Administração, saúde e educação públicas e seguridade social","0.1"
"1º trimestre 2005","Brasil","Valor adicionado a preços básicos","1.0"
"1º trimestre 2005","Brasil","Impostos líquidos sobre produtos","-"
"1º trimestre 2005","Brasil","PIB a preços de mercado","0.9"
"2º trimestre 2005","Brasil","Agropecuária - total","1.3"
"2º trimestre 2005","Brasil","Indústria - total","2.0"
"2º trimestre 2005","Brasil","Indústrias extrativas","8.7"
"2º trimestre 2005","Brasil","Indústrias de transformação","3.0"
"2º trimestre 2005","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-0.6"
"2º trimestre 2005","Brasil","Construção","2.4"
"2º trimestre 2005","Brasil","Serviços - total","1.2"
"2º trimestre 2005","Brasil","Comércio","2.7"
"2º trimestre 2005","Brasil","Transporte, armazenagem e correio","-0.3"
"2º trimestre 2005","Brasil","Informação e comunicação","2.2"
"2º trimestre 2005","Brasil","Atividades financeiras, de seguros e serviços relacionados","-0.2"
"2º trimestre 2005","Brasil","Atividades imobiliárias","0.6"
"2º trimestre 2005","Brasil","Outras atividades de serviços","1.4"
"2º trimestre 2005","Brasil","Administração, saúde e educação públicas e seguridade social","0.1"
"2º trimestre 2005","Brasil","Valor adicionado a preços básicos","0.9"
"2º trimestre 2005","Brasil","Impostos líquidos sobre produtos","-"
"2º trimestre 2005","Brasil","PIB a preços de mercado","1.1"
"3º trimestre 2005","Brasil","Agropecuária - total","-4.7"
"3º trimestre 2005","Brasil","Indústria - total","-2.1"
"3º trimestre 2005","Brasil","Indústrias extrativas","-1.4"
"3º trimestre 2005","Brasil","Indústrias de transformação","-3.0"
"3º trimestre 2005","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","0.4"
"3º trimestre 2005","Brasil","Construção","-3.9"
"3º trimestre 2005","Brasil","Serviços - total","0.7"
"3º trimestre 2005","Brasil","Comércio","-0.6"
"3º trimestre 2005","Brasil","Transporte, armazenagem e correio","-0.8"
"3º trimestre 2005","Brasil","Informação e comunicação","0.0"
"3º trimestre 2005","Brasil","Atividades financeiras, de seguros e serviços relacionados","2.5"
"3º trimestre 2005","Brasil","Atividades imobiliárias","1.2"
"3º trimestre 2005","Brasil","Outras atividades de serviços","1.1"
"3º trimestre 2005","Brasil","Administração, saúde e educação públicas e seguridade social","0.5"
"3º trimestre 2005","Brasil","Valor adicionado a preços básicos","-0.7"
"3º trimestre 2005","Brasil","Impostos líquidos sobre produtos","-"
"3º trimestre 2005","Brasil","PIB a preços de mercado","-0.6"
"4º trimestre 2005","Brasil","Agropecuária - total","0.9"
"4º trimestre 2005","Brasil","Indústria - total","1.3"
"4º trimestre 2005","Brasil","Indústrias extrativas","1.9"
"4º trimestre 2005","Brasil","Indústrias de transformação","1.5"
"4º trimestre 2005","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","0.9"
"4º trimestre 2005","Brasil","Construção","1.3"
"4º trimestre 2005","Brasil","Serviços - total","0.7"
"4º trimestre 2005","Brasil","Comércio","0.9"
"4º trimestre 2005","Brasil","Transporte, armazenagem e correio","1.7"
"4º trimestre 2005","Brasil","Informação e comunicação","-0.2"
"4º trimestre 2005","Brasil","Atividades financeiras, de seguros e serviços relacionados","1.3"
"4º trimestre 2005","Brasil","Atividades imobiliárias","1.3"
"4º trimestre 2005","Brasil","Outras atividades de serviços","0.6"
"4º trimestre 2005","Brasil","Administração, saúde e educação públicas e seguridade social","0.3"
"4º trimestre 2005","Brasil","Valor adicionado a preços básicos","1.1"
"4º trimestre 2005","Brasil","Impostos líquidos sobre produtos","-"
"4º trimestre 2005","Brasil","PIB a preços de mercado","1.3"
"1º trimestre 2006","Brasil","Agropecuária - total","3.4"
"1º trimestre 2006","Brasil","Indústria - total","1.1"
"1º trimestre 2006","Brasil","Indústrias extrativas","2.6"
"1º trimestre 2006","Brasil","Indústrias de transformação","0.9"
"1º trimestre 2006","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","0.7"
"1º trimestre 2006","Brasil","Construção","1.1"
"1º trimestre 2006","Brasil","Serviços - total","1.6"
"1º trimestre 2006","Brasil","Comércio","2.6"
"1º trimestre 2006","Brasil","Transporte, armazenagem e correio","1.4"
"1º trimestre 2006","Brasil","Informação e comunicação","-0.9"
"1º trimestre 2006","Brasil","Atividades financeiras, de seguros e serviços relacionados","4.9"
"1º trimestre 2006","Brasil","Atividades imobiliárias","0.7"
"1º trimestre 2006","Brasil","Outras atividades de serviços","1.0"
"1º trimestre 2006","Brasil","Administração, saúde e educação públicas e seguridade social","2.1"
"1º trimestre 2006","Brasil","Valor adicionado a preços básicos","1.7"
"1º trimestre 2006","Brasil","Impostos líquidos sobre produtos","-"
"1º trimestre 2006","Brasil","PIB a preços de mercado","1.6"
"2º trimestre 2006","Brasil","Agropecuária - total","1.2"
"2º trimestre 2006","Brasil","Indústria - total","-1.3"
"2º trimestre 2006","Brasil","Indústrias extrativas","-0.7"
"2º trimestre 2006","Brasil","Indústrias de transformação","-2.1"
"2º trimestre 2006","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","2.1"
"2º trimestre 2006","Brasil","Construção","-2.3"
"2º trimestre 2006","Brasil","Serviços - total","0.7"
"2º trimestre 2006","Brasil","Comércio","-0.6"
"2º trimestre 2006","Brasil","Transporte, armazenagem e correio","-0.7"
"2º trimestre 2006","Brasil","Informação e comunicação","-0.2"
"2º trimestre 2006","Brasil","Atividades financeiras, de seguros e serviços relacionados","1.9"
"2º trimestre 2006","Brasil","Atividades imobiliárias","1.3"
"2º trimestre 2006","Brasil","Outras atividades de serviços","0.6"
"2º trimestre 2006","Brasil","Administração, saúde e educação públicas e seguridade social","0.9"
"2º trimestre 2006","Brasil","Valor adicionado a preços básicos","0.1"
"2º trimestre 2006","Brasil","Impostos líquidos sobre produtos","-"
"2º trimestre 2006","Brasil","PIB a preços de mercado","0.3"
"3º trimestre 2006","Brasil","Agropecuária - total","4.3"
"3º trimestre 2006","Brasil","Indústria - total","1.6"
"3º trimestre 2006","Brasil","Indústrias extrativas","1.6"
"3º trimestre 2006","Brasil","Indústrias de transformação","1.7"
"3º trimestre 2006","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","1.9"
"3º trimestre 2006","Brasil","Construção","1.3"
"3º trimestre 2006","Brasil","Serviços - total","1.3"
"3º trimestre 2006","Brasil","Comércio","1.8"
"3º trimestre 2006","Brasil","Transporte, armazenagem e correio","0.7"
"3º trimestre 2006","Brasil","Informação e comunicação","4.2"
"3º trimestre 2006","Brasil","Atividades financeiras, de seguros e serviços relacionados","-0.1"
"3º trimestre 2006","Brasil","Atividades imobiliárias","1.8"
"3º trimestre 2006","Brasil","Outras atividades de serviços","1.4"
"3º trimestre 2006","Brasil","Administração, saúde e educação públicas e seguridade social","0.7"
"3º trimestre 2006","Brasil","Valor adicionado a preços básicos","1.7"
"3º trimestre 2006","Brasil","Impostos líquidos sobre produtos","-"
"3º trimestre 2006","Brasil","PIB a preços de mercado","1.7"
"4º trimestre 2006","Brasil","Agropecuária - total","0.5"
"4º trimestre 2006","Brasil","Indústria - total","2.9"
"4º trimestre 2006","Brasil","Indústrias extrativas","3.7"
"4º trimestre 2006","Brasil","Indústrias de transformação","3.4"
"4º trimestre 2006","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","0.3"
"4º trimestre 2006","Brasil","Construção","2.3"
"4º trimestre 2006","Brasil","Serviços - total","0.9"
"4º trimestre 2006","Brasil","Comércio","3.1"
"4º trimestre 2006","Brasil","Transporte, armazenagem e correio","1.6"
"4º trimestre 2006","Brasil","Informação e comunicação","-2.2"
"4º trimestre 2006","Brasil","Atividades financeiras, de seguros e serviços relacionados","-1.7"
"4º trimestre 2006","Brasil","Atividades imobiliárias","1.3"
"4º trimestre 2006","Brasil","Outras atividades de serviços","1.2"
"4º trimestre 2006","Brasil","Administração, saúde e educação públicas e seguridade social","0.9"
"4º trimestre 2006","Brasil","Valor adicionado a preços básicos","1.4"
"4º trimestre 2006","Brasil","Impostos líquidos sobre produtos","-"
"4º trimestre 2006","Brasil","PIB a preços de mercado","1.2"
"1º trimestre 2007","Brasil","Agropecuária - total","-1.6"
"1º trimestre 2007","Brasil","Indústria - total","0.6"
"1º trimestre 2007","Brasil","Indústrias extrativas","-0.2"
"1º trimestre 2007","Brasil","Indústrias de transformação","-0.3"
"1º trimestre 2007","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","2.6"
"1º trimestre 2007","Brasil","Construção","4.9"
"1º trimestre 2007","Brasil","Serviços - total","2.6"
"1º trimestre 2007","Brasil","Comércio","2.4"
"1º trimestre 2007","Brasil","Transporte, armazenagem e correio","1.4"
"1º trimestre 2007","Brasil","Informação e comunicação","3.8"
"1º trimestre 2007","Brasil","Atividades financeiras, de seguros e serviços relacionados","10.1"
"1º trimestre 2007","Brasil","Atividades imobiliárias","2.6"
"1º trimestre 2007","Brasil","Outras atividades de serviços","1.6"
"1º trimestre 2007","Brasil","Administração, saúde e educação públicas e seguridade social","0.5"
"1º trimestre 2007","Brasil","Valor adicionado a preços básicos","1.7"
"1º trimestre 2007","Brasil","Impostos líquidos sobre produtos","-"
"1º trimestre 2007","Brasil","PIB a preços de mercado","1.9"
"2º trimestre 2007","Brasil","Agropecuária - total","-2.1"
"2º trimestre 2007","Brasil","Indústria - total","3.4"
"2º trimestre 2007","Brasil","Indústrias extrativas","0.6"
"2º trimestre 2007","Brasil","Indústrias de transformação","3.6"
"2º trimestre 2007","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","2.5"
"2º trimestre 2007","Brasil","Construção","2.8"
"2º trimestre 2007","Brasil","Serviços - total","1.1"
"2º trimestre 2007","Brasil","Comércio","2.0"
"2º trimestre 2007","Brasil","Transporte, armazenagem e correio","1.1"
"2º trimestre 2007","Brasil","Informação e comunicação","1.1"
"2º trimestre 2007","Brasil","Atividades financeiras, de seguros e serviços relacionados","2.8"
"2º trimestre 2007","Brasil","Atividades imobiliárias","1.1"
"2º trimestre 2007","Brasil","Outras atividades de serviços","-0.3"
"2º trimestre 2007","Brasil","Administração, saúde e educação públicas e seguridade social","0.3"
"2º trimestre 2007","Brasil","Valor adicionado a preços básicos","1.4"
"2º trimestre 2007","Brasil","Impostos líquidos sobre produtos","-"
"2º trimestre 2007","Brasil","PIB a preços de mercado","1.7"
"3º trimestre 2007","Brasil","Agropecuária - total","7.5"
"3º trimestre 2007","Brasil","Indústria - total","0.3"
"3º trimestre 2007","Brasil","Indústrias extrativas","-2.1"
"3º trimestre 2007","Brasil","Indústrias de transformação","1.2"
"3º trimestre 2007","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-0.7"
"3º trimestre 2007","Brasil","Construção","0.0"
"3º trimestre 2007","Brasil","Serviços - total","0.8"
"3º trimestre 2007","Brasil","Comércio","0.8"
"3º trimestre 2007","Brasil","Transporte, armazenagem e correio","0.4"
"3º trimestre 2007","Brasil","Informação e comunicação","1.2"
"3º trimestre 2007","Brasil","Atividades financeiras, de seguros e serviços relacionados","3.0"
"3º trimestre 2007","Brasil","Atividades imobiliárias","0.5"
"3º trimestre 2007","Brasil","Outras atividades de serviços","0.3"
"3º trimestre 2007","Brasil","Administração, saúde e educação públicas e seguridade social","0.3"
"3º trimestre 2007","Brasil","Valor adicionado a preços básicos","1.2"
"3º trimestre 2007","Brasil","Impostos líquidos sobre produtos","-"
"3º trimestre 2007","Brasil","PIB a preços de mercado","1.0"
"4º trimestre 2007","Brasil","Agropecuária - total","0.0"
"4º trimestre 2007","Brasil","Indústria - total","0.8"
"4º trimestre 2007","Brasil","Indústrias extrativas","1.4"
"4º trimestre 2007","Brasil","Indústrias de transformação","0.9"
"4º trimestre 2007","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","0.8"
"4º trimestre 2007","Brasil","Construção","0.4"
"4º trimestre 2007","Brasil","Serviços - total","1.7"
"4º trimestre 2007","Brasil","Comércio","2.4"
"4º trimestre 2007","Brasil","Transporte, armazenagem e correio","3.9"
"4º trimestre 2007","Brasil","Informação e comunicação","2.9"
"4º trimestre 2007","Brasil","Atividades financeiras, de seguros e serviços relacionados","6.0"
"4º trimestre 2007","Brasil","Atividades imobiliárias","0.6"
"4º trimestre 2007","Brasil","Outras atividades de serviços","1.2"
"4º trimestre 2007","Brasil","Administração, saúde e educação públicas e seguridade social","-0.3"
"4º trimestre 2007","Brasil","Valor adicionado a preços básicos","1.2"
"4º trimestre 2007","Brasil","Impostos líquidos sobre produtos","-"
"4º trimestre 2007","Brasil","PIB a preços de mercado","1.5"
"1º trimestre 2008","Brasil","Agropecuária - total","-0.1"
"1º trimestre 2008","Brasil","Indústria - total","2.8"
"1º trimestre 2008","Brasil","Indústrias extrativas","5.2"
"1º trimestre 2008","Brasil","Indústrias de transformação","2.6"
"1º trimestre 2008","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","1.3"
"1º trimestre 2008","Brasil","Construção","2.2"
"1º trimestre 2008","Brasil","Serviços - total","1.6"
"1º trimestre 2008","Brasil","Comércio","2.3"
"1º trimestre 2008","Brasil","Transporte, armazenagem e correio","3.4"
"1º trimestre 2008","Brasil","Informação e comunicação","3.8"
"1º trimestre 2008","Brasil","Atividades financeiras, de seguros e serviços relacionados","3.3"
"1º trimestre 2008","Brasil","Atividades imobiliárias","-0.1"
"1º trimestre 2008","Brasil","Outras atividades de serviços","1.5"
"1º trimestre 2008","Brasil","Administração, saúde e educação públicas e seguridade social","-1.3"
"1º trimestre 2008","Brasil","Valor adicionado a preços básicos","1.2"
"1º trimestre 2008","Brasil","Impostos líquidos sobre produtos","-"
"1º trimestre 2008","Brasil","PIB a preços de mercado","1.3"
"2º trimestre 2008","Brasil","Agropecuária - total","3.2"
"2º trimestre 2008","Brasil","Indústria - total","0.5"
"2º trimestre 2008","Brasil","Indústrias extrativas","-1.1"
"2º trimestre 2008","Brasil","Indústrias de transformação","1.6"
"2º trimestre 2008","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-0.9"
"2º trimestre 2008","Brasil","Construção","0.6"
"2º trimestre 2008","Brasil","Serviços - total","1.6"
"2º trimestre 2008","Brasil","Comércio","2.1"
"2º trimestre 2008","Brasil","Transporte, armazenagem e correio","2.0"
"2º trimestre 2008","Brasil","Informação e comunicação","1.7"
"2º trimestre 2008","Brasil","Atividades financeiras, de seguros e serviços relacionados","2.5"
"2º trimestre 2008","Brasil","Atividades imobiliárias","0.4"
"2º trimestre 2008","Brasil","Outras atividades de serviços","2.5"
"2º trimestre 2008","Brasil","Administração, saúde e educação públicas e seguridade social","1.7"
"2º trimestre 2008","Brasil","Valor adicionado a preços básicos","1.9"
