"Mês","Região","Variável","Indústria geral","Indústrias extrativas","Indústrias de transformação"
"outubro 2003","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","-0.1","4.4","-0.3"
"outubro 2003","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"novembro 2003","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","98.57643","80.71531","99.73780"
"novembro 2003","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","95.94458","82.47036","96.92457"
"novembro 2003","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.0","1.3","1.2"
"novembro 2003","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","0.8","4.0","0.7"
"novembro 2003","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","0.0","4.4","-0.2"
"novembro 2003","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses)","...","...","..."
"dezembro 2003","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","90.74434","81.65883","91.34955"
"dezembro 2003","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","94.64046","81.85617","95.46479"
"dezembro 2003","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","-1.4","-0.7","-1.5"
"dezembro 2003","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","4.4","10.2","4.1"
"dezembro 2003","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","0.3","4.8","0.1"
"dezembro 2003","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","0.3","4.8","0.1"
"janeiro 2004","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","89.48491","79.37047","90.15456"
"janeiro 2004","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","96.37643","81.04939","97.47684"
"janeiro 2004","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.8","-1.0","2.1"
"janeiro 2004","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","3.8","-0.1","4.0"
"janeiro 2004","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","3.8","-0.1","4.0"
"janeiro 2004","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","0.4","4.0","0.3"
"fevereiro 2004","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","86.27226","76.81952","86.89904"
"fevereiro 2004","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","97.85730","82.66920","98.82906"
"fevereiro 2004","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.5","2.0","1.4"
"fevereiro 2004","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","3.1","4.4","3.1"
"fevereiro 2004","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","3.5","2.1","3.6"
"fevereiro 2004","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","0.5","3.8","0.3"
"março 2004","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","101.29663","82.81256","102.49825"
"março 2004","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","98.51491","81.61851","99.37005"
"março 2004","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.7","-1.3","0.5"
"março 2004","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","12.3","-0.6","13.0"
"março 2004","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","6.5","1.1","6.8"
"março 2004","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","1.5","3.2","1.4"
"abril 2004","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","95.78715","80.75444","96.76917"
"abril 2004","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","99.24061","82.30879","100.36979"
"abril 2004","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.7","0.8","1.0"
"abril 2004","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","7.4","0.9","7.8"
"abril 2004","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","6.8","1.1","7.1"
"abril 2004","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","2.4","3.0","2.4"
"maio 2004","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","100.60552","82.97995","101.75276"
"maio 2004","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","100.12334","79.44106","101.38546"
"maio 2004","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.9","-3.5","1.0"
"maio 2004","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","8.3","-2.0","8.9"
"maio 2004","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","7.1","0.4","7.5"
"maio 2004","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","3.2","2.2","3.2"
"junho 2004","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","100.36502","84.05209","101.42940"
"junho 2004","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","100.50762","83.97722","101.47420"
